name_and_description,price,goodfortv
"Solpex Solar Powered Disk Lights, 8LED Solar Pathway Lights Outdoor Waterproof Garden Landscape Lighting for Yard Deck Lawn Patio Walkway-White (4 Pack)",$16.98,0
"Chefman Electric Wine Opener with Foil Cutter, Automatic Corkscrew and Foil Remover, Stainless Steel, One Touch Wine Bottle Opener, Rechargeable 100-240V",$24.79,0
"Veken Non-Electric Bidet Self-Cleaning Dual Nozzle (Frontal /Feminine Wash), Fresh Water Spray Bidet for Toilet with Adjustable Water Pressure Switch",$29.99,0
"Copper Chef Crisper Tray  Non Stick Cookie Sheet Tray And Air Fry Mesh Basket Set, Transform Your Oven Into Oil Free Air Fryer",$19.99,0
"KingSo Industrial Metal Pendant Light, Spherical Pendant Light, Rustic Chandelier Vintage Hanging Cage Globe Ceiling Light Fixture for Kitchen Island Dining Room Farmhouse Entryway Foyer Table Hallway",$33.32,0
"KOBRA UV Black Light Flashlight 100 LED #1 Best UV Light and Blacklight For Home & Hotel Inspection, Pet Urine & Stains - Ultra Intensity 18W 385-395nm LEDs Spot Counterfeit Money, Leaks, Scorpions!",$24.99,0
"Rechargeable Book Light, Clip on LED Book Lamp 3 Colors x3 Levels Eye Care Reading Lights, Up to 60 Hours Reading, Lightweight, Ideal for Bookworms, Kids (Warm & White, 9 Levels)",$11.99,0
"Sunex 3301, 3/8 Inch Drive, Universal Impact Joint, Cr-Mo Alloy Steel, Cr-Mo Steel, Radius Corner Design, Flexible, Meets ANSI Standards",$9.65,0
"SadoTech Model C Wireless Doorbell, Easy Install, Over 1000-feet Range, 52 USA Chimes, Adjustable Volume and LED Flash, White",$16.99,0
"Ultra-Bright LED Flashlight, Wsiiroon CREE XML-T6 LED Flashlight, Zoomable, IP65 Water-Resistant, Portable, 5 Light Modes for Indoor and Outdoor Use, 2 pack (Batteries Not Included)",$14.99,0
"AstroAI Digital Multimeter, TRMS 6000 Counts Volt Meter Manual and Auto Ranging; Measures Voltage Tester, Current, Resistance, Continuity, Frequency; Tests Diodes, Transistors, Temperature, Red",$37.99,0
"eufy Lumi Stick-On Night Light, Warm White LED, Motion Sensor, Stick-Anywhere, Closet Light, Wall Light for Bedroom, Bathroom, Kitchen, Hallway, Stairs, Energy Efficient, Compact, 3-pack",$14.99,0
"Solar Lights Outdoor Motion Sensor, iThird 21 LED 330LM Solar Powered Security Lights for Yard Patio Garage Waterproof 3 Modes Super Bright(Daylight)",$23.99,0
"AmazonBasics Replacement GE MWF Refrigerator Water Filter Cartridge - Pack of 3, Premium Filtration",$35.93,0
"Philips Hue White LED Smart Light Bulb Starter Kit, 3 A19 Smart Bulbs & 1 Hue Hub, (Works with Alexa, Apple HomeKit, and Google Assistant)",$59.99,0
"O'Keeffe's Working Hands Hand Cream, 3.4 ounce Jar, (Pack of 2)",$12.33,0
"Kasa Smart WiFi Plug Lite by TP-Link (4-Pack) -12 Amp & Reliable Wifi Connection, Compact Design, No Hub Required, Works With Alexa Echo & Google Assistant (HS103P4)",$49.99,0
"Sengled Smart LED Soft White A19 Bulb, Hub Required, 2700K 60W Equivalent, Works with Alexa, Google Assistant & SmartThings, 4 Pack",$26.12,0
"Kwikset 92640-001 Contemporary Electronic Keypad Single Cylinder Deadbolt with 1-Touch Motorized Locking, Satin Nickel",$59.99,0
"Philips Hue White and Color Ambiance LightStrip Plus Dimmable LED Smart Light (Requires Hue Hub, Works with Alexa, HomeKit & Google Assistant)",$66.99,0
"Kasa Smart WiFi 2 Outlet Outdoor Plug by TP-Link  Smart Plug, No Hub Required, Works with Alexa and Google (KP400)",$29.99,0
"COLCASE Fireproof Document Bag 15 x 11 Inches Non-Itchy Silicone Coated Fire Resistant Bag Fireproof Safe Storage for Money, Documents, Jewelry and Passport",$16.99,0
"Gerber Dime Multi-Tool, Black [30-000469]",$20.12,0
"Philips Hue White 2-Pack A19 LED Smart Bulb, Bluetooth & Zigbee compatible (Hue Hub Optional), voice activated with Alexa",$29.99,0
"Baebody Eye Cream Rosehip Hibiscus for Appearance of Fine Lines, Wrinkles, Dark Circles, and Bags - for Under and Around Eyes - 1.7 fl oz",$19.95,0
"Bioderma Hydrabio H2O Micellar Water, Cleansing and Make-Up Removing Solution.",$9.90,0
GrandeLASH-MD Lash Enhancing Serum,$65.00,0
"Colgate Max Fresh Whitening Toothpaste with Breath Strips, Clean Mint - 6 ounce (4 Pack)",$7.98,0
"Supergoop! Fusion Lip Balm SPF 30, Acai, 0.5 fl.oz.",$9.50,0
"100% Natural & Organic Vitamin E Oil For Your Face & Skin, Unscented - 15,000/30,000 IU - Reduces Wrinkles & Fade Dark Spots. Essential Drops Are Lighter Than Ointment. Raw Vit E Extract Sunflower.",$19.97,0
MONSTINA Makeup Train Cases Professional Travel Makeup Bag Cosmetic Cases Organizer Portable Storage Bag for Cosmetics Makeup Brushes Toiletry Travel Accessories,$18.99,0
"Oral-B Pro 3000 Electric Toothbrush Smartseries With Bluetooth Connectivity, Black Edition (Powered By Braun)",$47.95,0
"Pantene, Shampoo and Sulfate Free Conditioner Kit, Paraben and Dye Free, Pro-V Blends, Soothing Rose Water, 17.9 fl oz, Twin Pack",$11.98,0
"Mustela Gentle Cleansing Gel, Baby Hair and Body Wash, Tear-Free, with Natural Avocado Perseose Fortified with Vitamin B5, Various Sizes",$9.90,0
"DUDE Shower Body Wipes 10 Count Wet Wipes Individually Wrapped for Travel Unscented Naturally Soothing Aloe and Hypoallergenic, Portable Travel-Sized Individual Cleansing Cloths for Men",$7.99,0
"Hair Brush-[Upgraded] Boar Bristle Hair Brush with Detangling Pins for Thick Curly Long Dry or Wet Hair,Natural Wooden Paddle Detangler Brush for Women Men Adding Shine,Hair Brush Cleaner Included",$12.99,0
"Replacement Toothbrush Heads Compatible with Phillips Sonicare Electric Toothbrush, 10 Pack",$16.99,0
"L'Oreal Paris Makeup Lash Paradise Waterproof Mascara, Voluptuous Volume, Intense Length, Feathery Soft Full Lashes, No Smudging, No Clumping, Blackest Black, 0.25 fl. oz",$7.17,0
"stila HUGE Extreme Lash Mascara, Intense Black, Voluminous Mascara - Paraben & Cruelty Free",$16.10,0
stila Stay All Day Waterproof Liquid Eye Liner,$15.40,0
MakeUp Eraser Chic Black,$20.00,0
"Plackers Grind No More Dental Night Guard for Teeth Grinding, 10 Count",$12.99,0
"L'Oreal Paris Makeup Lash Paradise Mascara, Voluptuous Volume, Intense Length, Feathery Soft Full Lashes, No Flaking, No Smudging, No Clumping, Black, 0.28 fl. oz",$8.39,0
Burt's Bees Herbal Complexion Stick (Pack of 2),$13.94,0
"Waterpik Water Flosser Electric Dental Countertop Oral Irrigator for Teeth - Aquarius Professional, WP-668 Mint Green",$39.93,0
Anti Aging Serum 3-Pack - Face Serum Full Regimen,$19.95,0
Gillette Series Shaving Gel Sensitive Skin 7 oz (Pack of 6),$11.97,0
OPI Nail Lacquer Top Coat,$6.83,0
"Wet Brush Original Detangler Hair Brush with Soft IntelliFlex Bristles, Detangler for All Hair Types - 2 Piece (Pink and Purple)",$15.99,0
"Garnier SkinActive Micellar Cleansing Water, For Waterproof Makeup, 13.5 Ounce (Pack of 2)",$13.64,0
Clarisonic Deep Pore Facial Cleansing Brush Head Replacement,$24.64,0
St. Tropez Self Tan Bronzing Mousse,$29.40,0
Burt's Bees Sensitive Facial Cleansing Towelettes with White Tea Extract - 30 Count (Pack of 3),$14.91,0
"Cetaphil Daily Facial Cleanser, For Normal to Oily Skin, 16 Ounce (Pack of 2)",$19.04,0
"Colgate 360 Toothbrush with Tongue and Cheek Cleaner - Soft (6 Count), Compact Head",$9.89,0
"Braun MGK3060 8-in-1 All-in-One Beard Trimmer for Men, Cordless Hair Clipper, Black/Grey, with 6 Attachments and Gillette ProGlide Razor",$19.94,0
"Mario Badescu Drying Lotion, 1 Fl Oz",$17.00,0
"Olaplex No 6 Bond Smoother, 3.3 Fl. Oz.",$19.60,0
"Aquaphor Ointment Body Spray - Moisturizes to Help Heal Dry, Rough Skin - 3.7 oz. Spray Can",$9.97,0
"Nip + Fab Glycolic Fix Daily Cleansing Pads, 60 Pads 55mm Diameter",$9.97,0
"Supergoop! Mint Condition Lip Shield SPF 30, 0.15 oz.",$5.00,0
"Waterpik Water Flosser Electric Dental Countertop Oral Irrigator For Teeth  Aquarius Professional, WP-663 Blue",$39.93,0
"Supergoop! Everyday SPF 50 Sunscreen For Face and Body, with Sunflower Extract",$13.30,0
"BIC Comfort 3 Hybrid Men's Razor, 1 Handle 12 Cartridges",$9.97,0
"Waterpik Water Flosser Electric Dental Countertop Oral Irrigator For Teeth  Aquarius Professional, WP-667 Modern Gray",$39.93,0
"Olaplex No.4 Bond Maintenance Shampoo, 8.5 Fl Oz",$19.60,0
Gillette Venus ComfortGlide White Tea Women's Razor Blades - 6 Refills,$12.58,0
"Olaplex No.5 Bond Maintenance Conditioner, 8.5 Fl Oz",$19.60,0
"Oral-B Pro 500 Electric Power Rechargeable Toothbrush with Automatic Timer and Precision Clean Brush Head, Powered by Braun",$19.99,0
"Waterpik Water Flosser Electric Dental Countertop Oral Irrigator For Teeth  Aquarius Professional, WP-662 Black",$39.93,0
stila Stay All Day Waterproof Liquid Eye Liner,$15.40,0
Checkered Chef Cooling Racks for Baking - Baking Rack Twin Set. Stainless Steel Oven and Dishwasher Safe Wire Cooling Rack. Fits Half Sheet Cookie Pan- set of 2,$16.95,0
Silpat Premium Non-Stick Silicone Baking Mat,$20.99,0
"Earthwise Reusable Mesh Produce Bags - Washable Set of 9 Premium Bags, TRANSPARENT Lightweight, Strong SEE-THROUGH Mesh for shopping, transporting and storing fruits and veggies.",$13.97,0
"Bentgo Kids Prints - Leak-Proof, 5-Compartment Bento-Style Kids Lunch Box - Ideal Portion Sizes for Ages 3 to 7 - BPA-Free and Food-Safe Materials",$29.99,0
Checkered Chef Baking Sheet and Rack Set - Aluminum Cookie Sheet/Half Sheet Pan for Baking with Stainless Steel Oven Safe Cooling Rack,$22.95,0
"Hatrigo Steamer Basket for Pressure Cooker Accessories [3qt 6qt 8qt Avail] Compatible with Ninja Foodi and Others, Strainer Insert with Silicone Handle",$22.99,0
EasyLunchboxes 3-Compartment Bento Lunch Box Containers,$13.95,0
AmazonBasics Pre-Seasoned Cast Iron Skillet,$13.56,0
"JoyJolt Spirits Stemless Wine Glasses 15 Ounce, Set of 4 Great For White Or Red Wine Mother's Day Wine Gifts Wines Glass Sets",$13.95,0
"ChefSofi Mortar and Pestle Set - Unpolished Heavy Granite for Enhanced Performance and Organic Appearance - INCLUDED: Anti-Scratch Protector + Italian Recipes EBook - 6 Inch, 2 Cup-Capacity",$37.48,0
Lodge Color Dutch Oven,$39.90,0
PackIt Freezable Classic Lunch Box,$19.99,0
"Instant Pot SSV800 Accu Slim Sous Vide Immersion Circulator, 6 or 8 quart",$54.99,0
Hamilton Beach,$31.42,0
"Oster Bread Maker | Expressbake, 2-Pound Loaf",$38.92,0
S'well 10316-B18-14530 Incognito Traveler,$30.30,0
